Wednesfield North Ward,E05001339
Wednesfield South Ward,E05001340
Baildon Ward,E05001341
Bingley Ward,E05001342
Bingley Rural Ward,E05001343
Bolton and Undercliffe Ward,E05001344
Bowling and Barkerend Ward,E05001345
Bradford Moor Ward,E05001346
City Ward,E05001347
Clayton and Fairweather Green Ward,E05001348
Craven Ward,E05001349
Eccleshill Ward,E05001350
Great Horton Ward,E05001351
Heaton Ward,E05001352
Idle and Thackley Ward,E05001353
Ilkley Ward,E05001354
Keighley Central Ward,E05001355
Keighley East Ward,E05001356
Keighley West Ward,E05001357
Little Horton Ward,E05001358
Manningham Ward,E05001359
Queensbury Ward,E05001360
Royds Ward,E05001361
Shipley Ward,E05001362
Thornton and Allerton Ward,E05001363
Toller Ward,E05001364
Tong Ward,E05001365
Wharfedale Ward,E05001366
Wibsey Ward,E05001367
Windhill and Wrose Ward,E05001368
Worth Valley Ward,E05001369
Wyke Ward,E05001370
Brighouse Ward,E05001371
Calder Ward,E05001372
Elland Ward,E05001373
Greetland and Stainland Ward,E05001374
Hipperholme and Lightcliffe Ward,E05001375
Illingworth and Mixenden Ward,E05001376
Luddendenfoot Ward,E05001377
Northowram and Shelf Ward,E05001378
Ovenden Ward,E05001379
Park Ward,E05001380
Rastrick Ward,E05001381
Ryburn Ward,E05001382
Skircoat Ward,E05001383
Sowerby Bridge Ward,E05001384
Todmorden Ward,E05001385
Town Ward,E05001386
Warley Ward,E05001387
Ashbrow Ward,E05001389
Batley East Ward,E05001390
Batley West Ward,E05001391
Birstall and Birkenshaw Ward,E05001392
Cleckheaton Ward,E05001393
Dalton Ward,E05001396
Denby Dale Ward,E05001397
Dewsbury East Ward,E05001398
Dewsbury South Ward,E05001399
Dewsbury West Ward,E05001400
Golcar Ward,E05001401
Greenhead Ward,E05001402
Heckmondwike Ward,E05001403
Holme Valley South Ward,E05001405
Lindley Ward,E05001407
Liversedge and Gomersal Ward,E05001408
Mirfield Ward,E05001409
Newsome Ward,E05001410
Adel and Wharfedale Ward,E05001411
Alwoodley Ward,E05001412
Ardsley and Robin Hood Ward,E05001413
Armley Ward,E05001414
Beeston and Holbeck Ward,E05001415
Bramley and Stanningley Ward,E05001416
Burmantofts and Richmond Hill Ward,E05001417
Calverley and Farsley Ward,E05001418
Chapel Allerton Ward,E05001419
City and Hunslet Ward,E05001420
Cross Gates and Whinmoor Ward,E05001421
Farnley and Wortley Ward,E05001422
Garforth and Swillington Ward,E05001423
Gipton and Harehills Ward,E05001424
Guiseley and Rawdon Ward,E05001425
Harewood Ward,E05001426
Headingley Ward,E05001427
Horsforth Ward,E05001428
Hyde Park and Woodhouse Ward,E05001429
Killingbeck and Seacroft Ward,E05001430
Kippax and Methley Ward,E05001431
Kirkstall Ward,E05001432
Middleton Park Ward,E05001433
Moortown Ward,E05001434
Morley North Ward,E05001435
Morley South Ward,E05001436
Otley and Yeadon Ward,E05001437
Pudsey Ward,E05001438
Rothwell Ward,E05001439
Roundhay Ward,E05001440
Temple Newsam Ward,E05001441
Weetwood Ward,E05001442
Wetherby Ward,E05001443
"Ackworth, North Elmsall and Upton Ward",E05001444
Airedale and Ferry Fryston Ward,E05001445
Altofts and Whitwood Ward,E05001446
Castleford Central and Glasshoughton Ward,E05001447
"Crofton, Ryhill and Walton Ward",E05001448
Featherstone Ward,E05001449
Hemsworth Ward,E05001450
Horbury and South Ossett Ward,E05001451
Knottingley Ward,E05001452
Normanton Ward,E05001453
Ossett Ward,E05001454
Pontefract North Ward,E05001455
Pontefract South Ward,E05001456
South Elmsall and South Kirkby Ward,E05001457
Stanley and Outwood East Ward,E05001458
Wakefield East Ward,E05001459
Wakefield North Ward,E05001460
Wakefield Rural Ward,E05001461
Wakefield South Ward,E05001462
Wakefield West Ward,E05001463
Wrenthorpe and Outwood West Ward,E05001464
Almondbury Ward,E05008558
Colne Valley Ward,E05008559
Crosland Moor and Netherton Ward,E05008560
Holme Valley North Ward,E05008561
Kirkburton Ward,E05008562
Anston and Woodsetts Ward,E05008935
Dinnington Ward,E05008936
